Frequency,DB(MAG(V(Out))),PHDEG(V(Out)),
10,-37.18771584138147,89.71199105548015,
12.589254117941673,-35.18757945937638,89.63741163461792,
15.848931924611135,-33.18736330917931,89.54351515090787,
19.952623149688797,-31.187020735999305,89.42529340042374,
25.118864315095802,-29.186477798615254,89.27643493135481,
31.622776601683793,-27.1856173122204,89.08898112971393,
39.81071705534973,-25.184253561841185,88.85288680761708,
50.11872336272723,-23.18209223548313,88.55545412785374,
63.09573444801932,-21.178666947214282,88.18059417455599,
79.43282347242815,-19.173238697092465,87.7078456739844,
100,-17.164636694187532,87.11103591740378,
125.89254117941672,-15.151006530463059,86.356385920217,
158.48931924611134,-13.129412319113436,85.39970121932353,
199.52623149688796,-11.09520976592399,84.18196871209778,
251.188643150958,-9.041063687814383,82.6220170981646,
316.22776601683796,-6.955427164266613,80.60347806353437,
398.10717055349727,-4.82025789076563,77.950104411479,
501.1872336272723,-2.6078754162983526,74.37601122106443,
630.9573444801932,-0.27791636826172755,69.37895073665801,
794.3282347242815,2.21897605928043,61.999521716775426,
1000,4.895508879408901,50.28907533467002,
1258.9254117941673,7.483696329730804,30.604658767851785,
1584.8931924611136,8.786177138340744,0.6002974650735705,
1995.2623149688795,7.564841421275327,-29.68292555598743,
2511.8864315095802,4.994794847828755,-49.73981363741443,
3162.2776601683795,2.3135200567665084,-61.66558277126103,
3981.0717055349724,-0.1902448053926552,-69.16007277030856,
5011.872336272723,-2.5254071132870037,-74.22309763003818,
6309.573444801932,-4.74127968861553,-77.83836335194103,
7943.282347242815,-6.878704900649633,-80.51934535798492,
10000,-8.965780017492795,-82.55742949840523,
12589.254117941671,-11.020838410630288,-84.1317640800848,
15848.931924611135,-13.055618100639963,-85.36036551779038,
19952.623149688796,-15.077576978827937,-86.32541033907272,
25118.8643150958,-17.09143741821571,-87.08656564265382,
31622.776601683792,-19.100184784568125,-87.68847541721541,
39810.71705534973,-21.105704779206746,-88.16524142388154,
50118.72336272723,-23.10918796455139,-88.54327581621699,
63095.73444801933,-25.111385825478987,-88.84322164913404,
79432.82347242815,-27.112772629180352,-89.0813080382141,
100000,-29.113647661857254,-89.27034209078033,
125892.54117941672,-31.114199777570075,-89.42045474373235,
158489.31924611135,-33.11454814198139,-89.53967219977798,
199526.23149688795,-35.11476794623705,-89.6343593359014,
251188.643150958,-37.11490663381264,-89.70956666169286,
316227.7660168379,-39.1149941399425,-89.76930328786386,
398107.1705534973,-41.115049352651646,-89.81675243545942,
501187.2336272723,-43.115084189545364,-89.85444196091866,
630957.3444801932,-45.11510617015101,-89.8843794782555,
794328.2347242815,-47.11512003898022,-89.90815952471068,
1000000,-49.11512878962174,-89.92704860241142,
1258925.4117941672,-51.11513431090401,-89.94205268774591,
1584893.1924611134,-53.1151377945979,-89.95397083510744,
1995262.3149688796,-55.11513999266027,-89.96343774540921,
2511886.43150958,-57.1151413795439,-89.97095757421836,
3162277.6601683795,-59.115142254608344,-89.97693078388592,
3981071.7055349727,-61.11514280673667,-89.98167547163574,
5011872.336272723,-63.11514315510612,-89.98544431040834,
6309573.444801932,-65.11514337491236,-89.98843800512087,
7943282.347242815,-67.11514351360074,-89.99081598118856,
10000000,-69.11514360110718,-89.9927048746363,
