Frequency,DB(MAG(V(Out))),PHDEG(V(Out)),
1,-53.155155148180334,90.01793986581657,
1.1220184543019633,-52.15515436378776,90.02012886297538,
1.2589254117941673,-51.15515337629593,90.02258495891476,
1.4125375446227544,-50.15515213311726,90.02534074494747,
1.5848931924611134,-49.15515056804789,90.02843278926169,
1.7782794100389228,-48.15514859774198,90.03190212222869,
1.9952623149688795,-47.155146117273354,90.03579478095001,
2.2387211385683394,-46.15514299454769,90.04016242028165,
2.51188643150958,-45.155139063267875,90.04506299846022,
2.8183829312644537,-44.155134114078066,90.05056154645258,
3.1622776601683795,-43.15512788341446,90.05673103127155,
3.5481338923357546,-42.15512003946928,90.06365332476057,
3.9810717055349727,-41.15511016452037,90.07142029076996,
4.466835921509631,-40.15509773268515,90.08013500524545,
5.011872336272723,-39.15508208191428,90.08991312555285,
5.623413251903491,-38.15506237873325,90.1008844273979,
6.3095734448019325,-37.15503757385375,90.11319453000266,
7.0794578438413795,-36.15500634629059,90.12700683280777,
7.943282347242815,-35.15496703300679,90.14250468993244,
8.912509381337456,-34.15491754033887,90.15989385199921,
10,-33.154855232482724,90.17940520878884,
11.220184543019634,-32.1547767910974,90.20129787062173,
12.589254117941673,-31.154678038543736,90.2258626314776,
14.125375446227544,-30.154553715334494,90.2534258628071,
15.848931924611135,-29.154397199927956,90.28435389394363,
17.78279410038923,-28.154200155917227,90.3190579432309,
19.952623149688797,-27.15395208778602,90.35799967376636,
22.387211385683397,-26.153639781508314,90.40169745944789,
25.118864315095802,-25.153246600099195,90.4507334613869,
28.183829312644537,-24.15275159643954,90.50576163250655,
31.622776601683793,-23.152128395871188,90.56751679036928,
35.48133892335755,-22.151343788647818,90.63682492648402,
39.81071705534973,-21.150355956636105,90.71461495662662,
44.66835921509631,-20.14911223880502,90.8019321640109,
50.11872336272723,-19.147546314878795,90.89995364960294,
56.23413251903491,-18.145574654591,91.01000618732697,
63.09573444801932,-17.14309203935686,91.13358699467611,
70.7945784384138,-16.139965911388334,91.27238808318764,
79.43282347242815,-15.136029239035233,91.42832506543634,
89.12509381337455,-14.131071502096297,91.60357159033079,
100,-13.12482729117387,91.8006009925578,
112.20184543019634,-12.116961872935189,92.02223732793881,
125.89254117941672,-11.107052887535776,92.27171880285549,
141.25375446227542,-10.094567100361827,92.55277781093196,
158.48931924611134,-9.07883080639531,92.86974354381033,
177.82794100389228,-8.058992051551481,93.22767572354836,
199.52623149688796,-7.033972247439209,93.63254185013507,
223.87211385683395,-6.0024039501226865,94.09145617218485,
251.188643150958,-4.962550455358445,94.61300752530151,
281.83829312644536,-3.9122012931703067,95.20771717699338,
316.22776601683796,-2.8485354785564097,95.88869020384472,
354.81338923357544,-1.7679411965208616,96.67256060970738,
398.10717055349727,-0.6657760613876142,97.58089214165481,
446.68359215096314,0.46395429776816005,98.64230385318412,
501.1872336272723,1.6290301624599153,99.895781416699,
562.341325190349,2.839605090172527,101.39599180180936,
630.9573444801932,4.108994265790486,103.22210734356943,
707.9457843841379,5.454694063127037,105.49302743355632,
794.3282347242815,6.899546468867634,108.39476388643995,
891.2509381337455,8.472472798527331,112.23187947051328,
1000,10.20632776231542,117.5275112205607,
1122.0184543019634,12.123398648824015,125.21664627583021,
1258.9254117941673,14.17442240353002,136.95583099513368,
1412.5375446227542,16.042046069806368,155.09754260180935,
1584.8931924611136,16.878989222078605,179.90919652341492,
1778.2794100389228,16.03278390977725,204.69142142078377,
1995.2623149688795,14.162049546406367,222.7818604441313,
2238.7211385683395,12.111302790992825,234.47843058066195,
2511.8864315095802,10.195305716538583,242.1328331533272,
2818.382931264454,8.46249754211163,247.39616827166066,
3162.2776601683795,6.890422136335329,251.19982070859177,
3548.133892335755,5.446225650402614,254.06480244591432,
3981.0717055349724,4.101021091030645,256.29430263193075,
4466.835921509632,2.832000464212012,258.07330028005447,
5011.872336272723,1.6216942665448537,259.5197950250043,
