Lap;Lap time;Total time
1;00:00:00.749;00:00:00.749
2;00:00:01.611;00:00:02.360
3;00:00:01.639;00:00:03.999
4;00:00:01.644;00:00:05.643
5;00:00:01.601;00:00:07.244
6;00:00:01.570;00:00:08.814
7;00:00:01.634;00:00:10.448
8;00:00:01.459;00:00:11.907
9;00:00:01.567;00:00:13.474
10;00:00:01.640;00:00:15.114
11;00:00:01.494;00:00:16.608
12;00:00:01.564;00:00:18.172
13;00:00:01.566;00:00:19.738
14;00:00:01.561;00:00:21.299
15;00:00:01.386;00:00:22.685
16;00:00:01.714;00:00:24.399
17;00:00:01.594;00:00:25.993
18;00:00:01.553;00:00:27.546
19;00:00:01.591;00:00:29.137
20;00:00:01.629;00:00:30.766
21;00:00:01.415;00:00:32.181
22;00:00:01.661;00:00:33.842
23;00:00:01.525;00:00:35.367
24;00:00:01.586;00:00:36.953
25;00:00:01.487;00:00:38.440
26;00:00:01.623;00:00:40.063
27;00:00:01.521;00:00:41.584
28;00:00:01.523;00:00:43.107
29;00:00:01.565;00:00:44.672
30;00:00:01.599;00:00:46.271
31;00:00:01.490;00:00:47.761
32;00:00:01.601;00:00:49.362
33;00:00:01.529;00:00:50.891
34;00:00:01.566;00:00:52.457
35;00:00:01.604;00:00:54.061
36;00:00:01.463;00:00:55.524
37;00:00:01.605;00:00:57.129
38;00:00:01.568;00:00:58.697
39;00:00:01.538;00:01:00.235
40;00:00:01.532;00:01:01.767
41;00:00:01.535;00:01:03.302
42;00:00:01.500;00:01:04.802
43;00:00:01.570;00:01:06.372
44;00:00:01.607;00:01:07.979
45;00:00:01.532;00:01:09.511
46;00:00:01.531;00:01:11.042
47;00:00:01.640;00:01:12.682
48;00:00:01.420;00:01:14.102
49;00:00:01.564;00:01:15.666
50;00:00:01.558;00:01:17.224
51;00:00:01.521;00:01:18.745
52;00:00:01.384;00:01:20.129
53;00:00:01.238;00:01:21.367
